,index,shots,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,jaccard_score_micro,jaccard_score_macro,jaccard_score_weighted
0,0,zero_shot,0.10735294117647058,0.0022299710526790806,0.10735294117647058,0.05946418168970648,0.09730699356449518,0.10735294117647058,0.0975493352244438,0.10735294117647058,0.10735294117647058,0.12344404401435194,0.19590139350501062,0.05672105672105672,0.03331544430361569,0.05564259414834539
1,1,one_shot,0.35343137254901963,0.23146724019005105,0.35343137254901963,0.28395987817086565,0.31849957835074005,0.35343137254901963,0.348378630652305,0.35343137254901963,0.35343137254901963,0.33128786399057036,0.3738871234623936,0.21464721643346235,0.17694068737915075,0.19542489690017523
2,2,two_shot,0.4200980392156863,0.3072612388275523,0.4200980392156863,0.3523189273939623,0.4023677258794971,0.4200980392156863,0.3744240822171937,0.4200980392156863,0.4200980392156863,0.3812028277462024,0.4280979545712201,0.2659013341607198,0.2272345918134871,0.25751785263384597
3,3,three_shot,0.4948529411764706,0.39761578815029086,0.4948529411764706,0.3803411253940814,0.46559503223341475,0.4948529411764706,0.4273208004439108,0.4948529411764706,0.4948529411764706,0.4552436613885211,0.5124762219712076,0.32877381533952127,0.25456381115883586,0.31493100056380696
4,4,four_shot,0.5345588235294118,0.44483312577654666,0.5345588235294118,0.4062792023221591,0.5042793494416118,0.5345588235294118,0.46051949561673117,0.5345588235294118,0.5345588235294118,0.5069946281615632,0.5514201019779146,0.3647767185148018,0.28067171463840596,0.3528334986908572
5,5,five_shot,0.5590686274509804,0.47461782324777047,0.5590686274509804,0.4315172031482753,0.5307175392764456,0.5590686274509804,0.48432436733441014,0.5590686274509804,0.5590686274509804,0.49024418043802676,0.5752626415338723,0.38799115495832626,0.30255266024264016,0.37707926758177174
6,6,six_shot,0.571813725490196,0.4896092457734528,0.571813725490196,0.4436889642432343,0.5429755844598889,0.571813725490196,0.5014943974943229,0.571813725490196,0.571813725490196,0.5435026934304086,0.589398548524599,0.40037755277158055,0.31569949477809295,0.3894914108295607
7,7,seven_shot,0.5901960784313726,0.5113803953646117,0.5901960784313726,0.46918966346856006,0.5640657874347064,0.5901960784313726,0.5159425505384643,0.5901960784313726,0.5901960784313726,0.5439224126074258,0.607902022116237,0.41863699582753827,0.335112523337951,0.40911139351269366
8,8,eight_shot,0.5784313725490197,0.49573056766958623,0.5784313725490197,0.4924590167473141,0.5597405678092423,0.5784313725490197,0.5113115661872769,0.5784313725490197,0.5784313725490197,0.5387862374601383,0.5783925097464782,0.4068965517241379,0.35252320389173153,0.39955716120636414
9,9,nine_shot,0.600735294117647,0.5235821229322588,0.600735294117647,0.47215288779621883,0.5755566875668431,0.600735294117647,0.5185526100042213,0.600735294117647,0.600735294117647,0.5297287057777903,0.612025800701377,0.42932212296374145,0.34069874893766044,0.42071326023435
10,10,ten_shot,0.5973039215686274,0.5183400311984232,0.5973039215686274,0.518973309643884,0.5807316897409631,0.5973039215686274,0.5349684048533275,0.5973039215686274,0.5973039215686274,0.565029799321324,0.6012499217212639,0.42582561593569807,0.3751498069592951,0.41947348846791815
